antecedents,consequents,confidence,support
"(318,)","(296,)",56.00000000000001,140
"(296,)","(318,)",59.82905982905983,140
"(318,)","(356,)",52.400000000000006,131
"(356,)","(318,)",55.04201680672269,131
"(356,)","(296,)",54.621848739495796,130
"(296,)","(356,)",55.55555555555556,130
"(296,)","(593,)",53.84615384615385,126
"(593,)","(296,)",58.333333333333336,126
"(593,)","(318,)",56.94444444444444,123
"(318,)","(593,)",49.2,123
"(260,)","(1196,)",61.904761904761905,117
"(1196,)","(260,)",72.22222222222221,117
"(356,)","(480,)",47.05882352941176,112
"(480,)","(356,)",62.22222222222222,112
"(260,)","(2571,)",58.201058201058196,110
"(593,)","(356,)",50.92592592592593,110
"(2571,)","(260,)",51.162790697674424,110
"(356,)","(593,)",46.21848739495798,110
"(296,)","(2571,)",46.58119658119658,109
"(2571,)","(296,)",50.697674418604656,109
"(2571,)","(318,)",50.23255813953489,108
"(7153,)","(4993,)",70.58823529411765,108
"(4993,)","(7153,)",72.48322147651007,108
"(318,)","(2571,)",43.2,108
"(2571,)","(1196,)",49.30232558139535,106
"(1196,)","(2571,)",65.4320987654321,106
"(2571,)","(2959,)",48.372093023255815,104
"(7153,)","(5952,)",67.97385620915033,104
"(5952,)","(7153,)",75.36231884057972,104
"(2028,)","(2571,)",68.42105263157895,104
"(2959,)","(318,)",62.65060240963856,104
"(318,)","(2959,)",41.6,104
"(2571,)","(2028,)",48.372093023255815,104
"(2959,)","(2571,)",62.65060240963856,104
"(1198,)","(2571,)",66.02564102564102,103
"(2571,)","(1198,)",47.906976744186046,103
"(260,)","(1210,)",53.43915343915344,101
"(296,)","(480,)",43.162393162393165,101
"(318,)","(110,)",40.400000000000006,101
"(356,)","(2571,)",42.436974789915965,101
"(2571,)","(356,)",46.97674418604651,101
"(110,)","(318,)",56.424581005586596,101
"(1210,)","(260,)",69.6551724137931,101
"(480,)","(296,)",56.111111111111114,101
"(356,)","(110,)",42.016806722689076,100
"(110,)","(356,)",55.865921787709496,100
"(4993,)","(5952,)",67.11409395973155,100
"(5952,)","(4993,)",72.46376811594203,100
"(296,)","(47,)",42.30769230769231,99
"(296,)","(110,)",42.30769230769231,99
"(318,)","(527,)",39.6,99
"(527,)","(318,)",60.0,99
"(47,)","(296,)",66.0,99
"(110,)","(296,)",55.3072625698324,99
"(110,)","(480,)",54.7486033519553,98
"(260,)","(318,)",51.85185185185185,98
"(318,)","(260,)",39.2,98
"(296,)","(527,)",41.88034188034188,98
"(527,)","(296,)",59.3939393939394,98
"(480,)","(110,)",54.44444444444444,98
"(480,)","(593,)",53.888888888888886,97
"(2571,)","(7153,)",45.11627906976744,97
"(527,)","(356,)",58.78787878787879,97
"(7153,)","(2571,)",63.39869281045751,97
"(593,)","(480,)",44.907407407407405,97
"(356,)","(527,)",40.7563025210084,97
"(260,)","(296,)",50.79365079365079,96
"(593,)","(2571,)",44.44444444444444,96
"(7153,)","(318,)",62.745098039215684,96
"(318,)","(7153,)",38.4,96
"(296,)","(260,)",41.02564102564102,96
"(2571,)","(593,)",44.651162790697676,96
"(1210,)","(2571,)",65.51724137931035,95
"(1210,)","(1196,)",65.51724137931035,95
"(1196,)","(1210,)",58.64197530864198,95
"(2571,)","(1210,)",44.18604651162791,95
"(150,)","(356,)",60.509554140127385,95
"(356,)","(150,)",39.91596638655462,95
"(2571,)","(2762,)",44.18604651162791,95
"(2762,)","(2571,)",69.85294117647058,95
"(318,)","(480,)",37.6,94
"(480,)","(318,)",52.22222222222223,94
"(593,)","(110,)",43.51851851851852,94
"(110,)","(593,)",52.513966480446925,94
"(1198,)","(260,)",59.61538461538461,93
"(2959,)","(296,)",56.024096385542165,93
"(260,)","(1198,)",49.2063492063492,93
"(296,)","(2959,)",39.743589743589745,93
"(47,)","(593,)",61.33333333333333,92
"(593,)","(47,)",42.592592592592595,92
"(2571,)","(2858,)",42.32558139534884,91
"(356,)","(260,)",38.23529411764706,91
"(260,)","(356,)",48.148148148148145,91
"(593,)","(260,)",42.129629629629626,91
"(260,)","(593,)",48.148148148148145,91
"(2858,)","(2571,)",57.961783439490446,91
"(593,)","(527,)",41.66666666666667,90
"(296,)","(32,)",38.46153846153847,90
"(32,)","(296,)",60.810810810810814,90
"(150,)","(318,)",57.324840764331206,90
