antecedents,consequents,confidence,support
"(5952, 6377)","(7153,)",91.52542372881356,54
"(4993, 6377)","(7153,)",91.07142857142857,51
"(1240, 2028)","(2571,)",89.65517241379311,52
"(4993, 8961)","(7153,)",87.71929824561403,50
"(4226, 5952)","(7153,)",86.88524590163934,53
"(318, 4993, 5952)","(7153,)",86.66666666666667,52
"(593, 5952)","(7153,)",86.56716417910447,58
"(4306, 5952)","(7153,)",86.4406779661017,51
"(4993, 33794)","(7153,)",86.20689655172413,50
"(4993, 58559)","(7153,)",86.20689655172413,50
"(318, 5952)","(7153,)",85.36585365853658,70
"(3578, 5952)","(7153,)",84.7457627118644,50
"(260, 1036)","(1196,)",84.61538461538461,55
"(296, 5952)","(7153,)",83.82352941176471,57
"(47, 1198)","(2571,)",83.60655737704919,51
"(1196, 1240)","(2571,)",83.60655737704919,51
"(2959, 5952)","(7153,)",83.56164383561644,61
"(5952, 8961)","(7153,)",83.33333333333334,50
"(1210, 3793)","(2571,)",83.33333333333334,50
"(1221, 2571)","(858,)",83.33333333333334,50
"(4306, 4993)","(7153,)",83.07692307692308,54
"(296, 1196)","(260,)",82.71604938271605,67
"(356, 1196)","(260,)",82.66666666666667,62
"(1196, 2858)","(260,)",82.6086956521739,57
"(4226, 4993)","(7153,)",82.35294117647058,56
"(260, 1214)","(1196,)",82.25806451612904,51
"(356, 4993)","(7153,)",82.1917808219178,60
"(1196, 7153)","(260,)",82.1917808219178,60
"(480, 1196)","(260,)",82.08955223880598,55
"(356, 5952)","(7153,)",82.08955223880598,55
"(2571, 4993, 5952)","(7153,)",81.9672131147541,50
"(1198, 1240)","(2571,)",81.9672131147541,50
"(318, 4993)","(7153,)",81.92771084337349,68
"(318, 1196)","(260,)",81.81818181818183,63
"(3578, 4993)","(7153,)",81.42857142857143,57
"(5952, 6539)","(7153,)",81.42857142857143,57
"(1210, 2762)","(2571,)",81.25,52
"(47, 1196)","(260,)",81.25,52
"(47, 7153)","(2571,)",81.25,52
"(1196, 2959)","(260,)",81.15942028985508,56
"(4226, 7153)","(4993,)",81.15942028985508,56
"(1291, 2028)","(2571,)",80.95238095238095,51
"(1196, 1214)","(260,)",80.95238095238095,51
"(1036, 1196)","(260,)",80.88235294117648,55
"(1210, 2028)","(2571,)",80.82191780821918,59
"(47, 2858)","(2571,)",80.64516129032258,50
"(1036, 2028)","(2571,)",80.64516129032258,50
"(356, 5952)","(4993,)",80.59701492537313,54
"(260, 5952)","(7153,)",80.3030303030303,53
"(3578, 7153)","(4993,)",80.28169014084507,57
"(1198, 2959)","(2571,)",80.0,52
"(1196, 1197)","(260,)",80.0,52
"(589, 1240)","(2571,)",80.0,52
"(260, 1240)","(2571,)",80.0,52
"(260, 1210, 2571)","(1196,)",79.71014492753623,55
"(1196, 1210, 2571)","(260,)",79.71014492753623,55
"(47, 1196)","(2571,)",79.6875,51
"(2571, 79132)","(318,)",79.6875,51
"(1210, 1291)","(1196,)",79.6875,51
"(6874, 7153)","(2571,)",79.6875,51
"(260, 3793)","(2571,)",79.6875,51
"(1210, 4993)","(260,)",79.6875,51
"(1210, 1291)","(260,)",79.6875,51
"(1196, 1270)","(260,)",79.6875,51
"(593, 1196)","(260,)",79.48717948717949,62
"(2959, 4993)","(7153,)",79.45205479452055,58
"(4993, 6539)","(7153,)",79.45205479452055,58
"(2959, 4306)","(2571,)",79.36507936507937,50
"(50, 1196)","(260,)",79.36507936507937,50
"(1653,)","(2571,)",79.1044776119403,53
"(4993, 5952)","(7153,)",79.0,79
"(6365,)","(2571,)",78.87323943661971,56
"(1580, 2028)","(2571,)",78.78787878787878,52
"(1198, 2858)","(2571,)",78.78787878787878,52
"(5952, 6539)","(4993,)",78.57142857142857,55
"(2571, 6377)","(7153,)",78.57142857142857,55
"(47, 2028)","(2571,)",78.46153846153847,51
"(296, 4306)","(2571,)",78.26086956521739,54
"(260, 1291)","(1196,)",78.26086956521739,54
"(47, 527)","(296,)",78.125,50
"(296, 6377)","(356,)",78.125,50
"(7153, 33794)","(4993,)",78.125,50
"(356, 367)","(480,)",78.125,50
"(1036, 1210)","(1196,)",78.125,50
"(608, 1196)","(260,)",78.125,50
"(260, 2762)","(2571,)",78.08219178082192,57
"(153,)","(592,)",78.02197802197803,71
"(296, 5952)","(4993,)",77.94117647058823,53
"(296, 1198)","(2571,)",77.92207792207793,60
"(1221,)","(858,)",77.89473684210526,74
"(589, 2028)","(2571,)",77.61194029850746,52
"(260, 1197)","(1196,)",77.61194029850746,52
"(2571, 4993)","(7153,)",77.52808988764045,69
"(2571, 5952)","(7153,)",77.38095238095238,65
"(1198, 2028)","(2571,)",77.33333333333333,58
"(296, 4993)","(7153,)",77.33333333333333,58
"(1198, 5952)","(7153,)",77.27272727272727,51
"(1527,)","(2571,)",77.27272727272727,68
"(1196, 1580)","(260,)",77.27272727272727,51
"(1196, 2762)","(260,)",77.27272727272727,51
